Input,Tempo Médio (segundos),Contador Médio
100,0.0005888333333333335,333200
500,0.065442,41666000
1000,0.5194491666666666,333332000
2000,4.135283666666666,-1628303296
2500,8.0694165,913362704
3000,13.941023499999998,410061408
4000,33.01668566666667,-141508480
5000,64.43607633333333,-1283012960
6000,111.35303750000001,-1014452032
7000,176.91731316666664,-1630792992
8000,263.71735900000004,-1132035840
